"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"HW_NO",-31023.1017544129,91955.7160799116,81180.8720186734,-5.38968980502951,11.8369927926536,0.880030771197768,-0.243070772110044,0.481209042536937
"AUTOARIMA",-31327.7742570957,99341.2903856963,80551.4527994076,-3.51703964535264,11.4917501561705,0.873207633343203,-0.30890641990518,0.507971734729262
"TUNEDARIMA",-84319.9356400822,145102.268589668,95681.8621210892,-17.4719686110331,18.7888413823371,1.03722688384885,0.29703930969533,1.00610016239248
"AutoSARIMAx",-43560.9702875255,109641.243044093,96433.7875071142,-7.09567561973009,13.7951966466465,1.04537803400149,0.346336436775657,0.502130918088463
"manualSARIMAx",-41117.6707023579,117622.755687788,105749.270739741,-7.25501086166262,16.084016553034,1.1463613283347,0.301411493060009,0.586430690054817
