"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"HW_NO",9134.2251977405,16612.4858445235,12572.7000013046,16.4356495748867,31.5545844329721,0.772530764871914,0.0440355003391328,0.571391429017974
"AUTOARIMA",-14480.233511886,26099.8499724037,18521.1889377839,-80.6859968753539,87.8234217713858,1.13803624161547,0.243443694760186,1.60138345435984
"TUNEDARIMA",-11085.6297305159,23644.5129220904,16362.5755849173,-69.0809027088201,78.4304157483548,1.00540003583789,0.243195970984334,1.4458275068055
"AutoSARIMAx",-14129.3751452698,24093.4178063555,18107.7909724414,-73.5413730594812,80.0733212056967,1.11263496374124,0.0345324825413855,1.33286421474062
"manualSARIMAx",-11261.9247322308,22224.6935500234,16850.4414358889,-63.3474727419808,72.7831621649983,1.03537700013091,0.00297374663218138,1.18668907602757
