"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"HW_NO",12637.288971051,16082.9032737505,14537.7230144238,27.396798973711,32.7990547264353,0.854358169527556,-0.0708674791797336,0.943832244325872
"AUTOARIMA",-3692.73653253175,11938.2106813479,10254.6950566764,-15.8441204804552,27.1305847473625,0.602651631826581,0.149814295559996,0.920592541650026
"TUNEDARIMA",-5067.06140102861,11981.4590971305,9809.85657095642,-18.4854515766395,26.7869589720921,0.576509202642995,0.0586874307347486,0.941288657641272
"AutoSARIMAx",-2899.61024437989,8557.99636977406,8062.91453396406,-10.256512373792,19.6074439814794,0.473844280528664,-0.293893992281483,0.61784665536743
"manualSARIMAx",-5291.98233043641,9915.66083940632,9124.22796005559,-16.0061748622316,22.9115935061547,0.536215932204166,-0.263364346020248,0.688644382659806
