"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"HW_NO",780.712745320634,66171.4165540341,53204.1907768758,-4.62965705175764,18.6889121581633,1.25954977665173,0.441032508792912,0.822457797632239
"AUTOARIMA",-15782.1018150345,58150.8849528124,47169.9509914015,-10.6175691019322,18.4682424835587,1.11669589121381,0.43832504201345,0.899607030200738
"TUNEDARIMA",12172.1667720893,50254.0239039771,41485.3336738302,0.0979085465219656,14.2341656363461,0.982118927103503,0.330182330545523,0.616548784568755
"AutoSARIMAx",3039.6684104276,51142.5621845507,42952.8821958465,-2.61277490178418,15.2739462498525,1.01686149880961,0.356536453840482,0.691681273906257
"manualSARIMAx",-4160.53524700231,44955.9495697292,36438.5719386927,-3.96627671277733,12.8280042299405,0.862642481291837,0.186379052016508,0.609324858160942
