"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"HW",-9809.22853726058,55697.4068410149,43590.3746169574,-7.76421614027656,16.2347731476857,0.876234667999214,0.378340696112473,0.778079795652825
"AUTOARIMA",-5357.17537357642,52921.2187074011,40788.2322792671,-4.60320723112824,14.6306158673332,0.819907226848996,0.127264987505569,0.747898296227258
"ManualARIMA",-2733.6735326463,52539.1178049262,39823.5986507223,-3.68082675866733,14.2143488209589,0.800516583050309,0.134754583211835,0.728765112150701
"AutoSarimaX",-3931.10073102077,46609.6153473404,39910.2986319508,-4.82494887357436,15.239339337355,0.802259388197886,0.181497016695685,0.639420691072379
"TunedSarimaX",28250.8954317079,52264.090753107,43799.0447337249,8.17175214610744,14.8442532614336,0.880429263528475,-0.0619364692367812,0.634602137115248
