DATA,CO,NO,NO2,NOX,O3,PM10,SO2,Year,Month,Day,type
2012-01-01,0.4600090579710145,21.556418219461698,39.58566252587992,71.96350931677019,20.008333333333333,21.541666666666668,3.395833333333333,2012,1,1,actuals
2012-01-02,0.3384057971014493,13.20600414078675,31.69151138716356,51.21506211180124,32.5,24.875,2.1875,2012,1,2,actuals
2012-01-03,0.4697719038208169,20.45,44.98400621118012,75.77551759834367,23.291666666666664,20.869565217391305,2.663949275362319,2012,1,3,actuals
2012-01-04,0.5399327122153209,30.389704498400153,42.5454310182571,87.96823828345568,20.512121212121208,26.708333333333332,3.111413043478261,2012,1,4,actuals
2012-01-05,0.423826581027668,21.021776101745044,33.15317213842059,64.48332593907129,34.383074534161494,29.958333333333332,2.0230978260869565,2012,1,5,actuals
2012-01-06,0.3330615942028986,10.851708074534162,33.48007246376812,49.23654244306419,35.64528985507246,28.666666666666668,3.166666666666667,2012,1,6,actuals
2012-01-07,0.409375,20.474896480331267,37.90683229813664,68.74792960662526,27.84166666666667,30.625,3.03125,2012,1,7,actuals
2012-01-08,0.41310386473429955,14.397644927536232,30.166666666666668,51.20712560386473,27.63586956521739,18.52173913043478,2.3055555555555554,2012,1,8,actuals
2012-01-09,0.676074016563147,48.33227098987969,53.56098068598068,127.03363665320187,14.141583054626532,26.75,4.799679487179488,2012,1,9,actuals
2012-01-10,0.7877264492753623,69.39026915113872,65.53079710144928,171.291149068323,8.297727272727274,36.791666666666664,4.78125,2012,1,10,actuals
2012-01-11,0.8558465085638999,77.7833850931677,69.42261904761905,188.05357142857142,9.322916666666666,42.458333333333336,3.5520833333333335,2012,1,11,actuals
2012-01-12,0.5112771739130434,41.98837756446452,59.86260900934814,123.76863354037269,18.367753623188406,29.041666666666668,3.5520833333333335,2012,1,12,actuals
2012-01-13,0.6316205533596837,52.92313664596274,60.4399585921325,141.13250517598343,14.020833333333332,23.75,3.7812500000000004,2012,1,13,actuals
2012-01-14,0.6733695652173912,33.82634575569358,48.658902691511386,99.81107660455486,13.15625,30.416666666666668,1.8437499999999998,2012,1,14,actuals
2012-01-15,0.5282608695652175,21.1868961352657,47.744263285024154,79.34903381642512,19.347222222222225,27.625,2.3194444444444446,2012,1,15,actuals
2012-01-16,0.5405062495666042,21.206585598666344,51.90228482697427,83.57227218950823,30.66355519480519,27.75,2.5833333333333335,2012,1,16,actuals
2012-01-17,0.6245923913043478,25.21273291925466,54.47696687370599,92.33540372670807,35.88541666666667,27.208333333333332,2.2604166666666665,2012,1,17,actuals
2012-01-18,0.6375194099378882,44.91951345755693,61.38690476190476,129.66573498964803,15.337615283267455,34.81818181818182,2.5783514492753628,2012,1,18,actuals
2012-01-19,0.6052577404479578,37.60439017504235,56.040796160361374,113.18751176359872,15.908333333333331,31.416666666666668,3.1363636363636367,2012,1,19,actuals
2012-01-20,0.7743206521739131,57.24818840579711,62.78550254093732,149.8082298136646,14.008333333333331,36.541666666666664,3.8844696969696972,2012,1,20,actuals
2012-01-21,0.5706974637681159,34.397256728778466,54.15398550724638,106.41097308488612,18.80833333333333,26.5,2.2083333333333335,2012,1,21,actuals
2012-01-22,0.38958333333333334,23.79606625258799,39.58592132505176,75.28726708074534,24.683333333333334,20.958333333333332,2.5,2012,1,22,actuals
2012-01-23,0.6951992753623187,37.7750626566416,49.21115288220551,106.36278195488721,19.856818181818184,29.625,3.827380952380952,2012,1,23,actuals
2012-01-24,0.7562801932367149,33.72326526130874,54.60606060606061,105.84981021394063,12.925,26.0,1.9043560606060606,2012,1,24,actuals
2012-01-25,0.8602777777777778,60.09313073055309,68.76031499556343,160.2149142265602,12.263095238095238,29.94736842105263,2.8794642857142856,2012,1,25,actuals
2012-01-26,0.9770531400966184,71.67261904761905,77.9236542443064,187.1076604554865,11.025000000000002,47.625,3.541666666666666,2012,1,26,actuals
2012-01-27,0.6725241545893721,32.25879917184265,59.219461697722565,107.81547619047618,18.591666666666665,34.166666666666664,2.1458333333333335,2012,1,27,actuals
2012-01-28,0.5073671497584541,25.617494824016564,49.67210144927536,88.40709109730848,8.966666666666665,25.583333333333332,1.71875,2012,1,28,actuals
2012-01-29,0.40144927536231884,11.606366459627328,37.84912008281573,54.98913043478261,29.125,12.291666666666666,2.083333333333333,2012,1,29,actuals
2012-01-30,0.5927777777777777,28.026697177726927,53.88386727688787,96.09696796338673,22.925,20.0,3.2323369565217392,2012,1,30,actuals
2012-01-31,0.5436017786561265,29.228432282003713,52.0002319109462,96.06609461966605,23.371969696969696,27.333333333333332,2.9393115942028984,2012,1,31,actuals
2012-02-01,0.6780797101449276,54.6057009760426,63.98212941303003,147.003855099352,14.257142857142856,27.083333333333332,2.3929924242424243,2012,2,1,actuals
2012-02-02,0.5532155797101449,26.796842650103518,49.27769151138716,89.75207039337474,17.716666666666665,27.263157894736842,2.145833333333333,2012,2,2,actuals
2012-02-03,0.4848278985507246,19.398362507058156,41.368751848565516,70.19113495200452,31.491666666666667,31.608695652173914,2.635416666666667,2012,2,3,actuals
2012-02-04,0.46933876811594205,9.334368530020702,31.100672877846794,44.5212215320911,55.04166666666667,17.791666666666668,1.7708333333333333,2012,2,4,actuals
2012-02-05,0.3862771739130435,10.690993788819878,41.04192546583851,56.78364389233955,40.99166666666667,18.125,2.09375,2012,2,5,actuals
2012-02-06,0.6602025691699606,38.1231884057971,54.93711180124223,112.66407867494824,29.916666666666668,27.166666666666668,3.96875,2012,2,6,actuals
